"codigo_ocorrencia";"aeronave_matricula";"aeronave_operador_categoria";"aeronave_tipo_veiculo";"aeronave_fabricante";"aeronave_modelo";"aeronave_tipo_icao";"aeronave_motor_tipo";"aeronave_motor_quantidade";"aeronave_pmd";"aeronave_pmd_categoria";"aeronave_assentos";"aeronave_ano_fabricacao";"aeronave_pais_fabricante";"aeronave_pais_registro";"aeronave_registro_categoria";"aeronave_registro_segmento";"aeronave_voo_origem";"aeronave_voo_destino";"aeronave_fase_operacao";"aeronave_fase_operacao_icao";"aeronave_tipo_operacao";"aeronave_nivel_dano";"total_fatalidades";"aeronave_dia_extracao"
"201611011138496";"PPGCT";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"2";"1991";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"SSBL";"SSBL";"TÁXI";"TAXI";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
"200902046755841";"PTKYP";"AEROCLUBE";"AVIÃO";"CIA AERONAUTICA PAULISTA";"CAP-4";"PAUL";"PISTÃO";"MONOMOTOR";"587";"ATÉ 2250 KG";"2";"1940";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"200910113821004";"PTKYP";"AEROCLUBE";"AVIÃO";"CIA AERONAUTICA PAULISTA";"CAP-4";"PAUL";"PISTÃO";"MONOMOTOR";"587";"ATÉ 2250 KG";"2";"1940";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201201079087193";"PTKYP";"AEROCLUBE";"AVIÃO";"CIA AERONAUTICA PAULISTA";"CAP-4";"PAUL";"PISTÃO";"MONOMOTOR";"587";"ATÉ 2250 KG";"2";"1940";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"DECOLAGEM";"TAKEOFF";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
"201411145608685";"PTVOB";"OPERADOR PARTICULAR";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"EMB-810D";"PA34";"PISTÃO";"BIMOTOR";"2155";"ATÉ 2250 KG";"6";"1991";"BRASIL";"BRASIL";"TPP";"PARTICULAR";"SBBI";"SSCP";"CORRIDA APÓS POUSO";"LANDING";"VOO PRIVADO";"NENHUM";"0";"2019-05-31"
"201408162296216";"PTVOB";"OPERADOR PARTICULAR";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"EMB-810D";"PA34";"PISTÃO";"BIMOTOR";"2155";"ATÉ 2250 KG";"6";"1991";"BRASIL";"BRASIL";"TPP";"PARTICULAR";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO PRIVADO";"LEVE";"0";"2019-05-31"
"201804111944179";"PPGFK";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"2";"1992";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"SIXE";"SIXE";"POUSO";"LANDING";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
"201607081723351";"PPHLJ";"OPERADOR PARTICULAR";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"56-C";"PAUL";"PISTÃO";"MONOMOTOR";"660";"ATÉ 2250 KG";"2";"1962";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBJF";"SBJF";"DECOLAGEM";"TAKEOFF";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201106253358403";"PTSOF";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-110P1";"E110";"TURBOÉLICE";"BIMOTOR";"5670";"ENTRE 2250 E 5700 KG";"20";"1990";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"SUBIDA";"EN ROUTE";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"201309067980368";"PTSOF";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-110P1";"E110";"TURBOÉLICE";"BIMOTOR";"5670";"ENTRE 2250 E 5700 KG";"20";"1990";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"TÁXI";"TAXI";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
