aeronave_tipo_veiculo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;total_fatalidades
AVIAO;MONOMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;LEVE;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;PARTICULAR;DESCIDA;LEVE;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;NENHUM;0
HELICOPTERO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;0
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;PARTICULAR;RETA FINAL;SUBSTANCIAL;0
AVIAO;MONOMOTOR;TAXI AEREO;DECOLAGEM;NENHUM;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;ESTACIONAMENTO;LEVE;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;NENHUM;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;LEVE;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;LEVE;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;NENHUM;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;APROXIMACAO FINAL;NENHUM;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;LEVE;0
HELICOPTERO;MONOMOTOR;TAXI AEREO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;TRIMOTOR;NAO REGULAR;OPERACAO DE SOLO;LEVE;0
AVIAO;TRIMOTOR;NAO REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;LEVE;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;ESTACIONAMENTO;INDETERMINADO;0
AVIAO;TRIMOTOR;REGULAR;TAXI;LEVE;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;LEVE;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;LEVE;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;APROXIMACAO FINAL;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;DESCIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;POUSO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;POUSO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;POUSO;LEVE;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;LEVE;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;LEVE;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;LEVE;0
AVIAO;TRIMOTOR;REGULAR;OPERACAO DE SOLO;LEVE;0
AVIAO;TRIMOTOR;REGULAR;DECOLAGEM;LEVE;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;SUBIDA;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;TRIMOTOR;REGULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;TAXI;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;TAXI;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;MANOBRA;INDETERMINADO;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;MANOBRA;NENHUM;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;PAIRADO;LEVE;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;ESPECIALIZADA;NENHUM;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;OUTRA FASE;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;MANOBRA;NENHUM;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;TAXI;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;POUSO;SUBSTANCIAL;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;MANOBRA;NENHUM;0
HELICOPTERO;BIMOTOR;ADMINISTRACAO DIRETA;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;ADMINISTRACAO DIRETA;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;ADMINISTRACAO INDIRETA;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;AGRICOLA;OUTRA FASE;LEVE;0
AVIAO;BIMOTOR;ESPECIALIZADA;TAXI;NENHUM;0
AVIAO;BIMOTOR;ESPECIALIZADA;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;PARTIDA DO MOTOR;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;DESCIDA;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;MANOBRA;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;SUBIDA;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;APROXIMACAO FINAL;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;BIMOTOR;INSTRUCAO;SUBIDA;SUBSTANCIAL;0
AVIAO;BIMOTOR;INSTRUCAO;POUSO;LEVE;0
HELICOPTERO;BIMOTOR;MULTIPLA;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;NAO REGULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;NAO REGULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;NAO REGULAR;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;NAO REGULAR;APROXIMACAO FINAL;LEVE;0
AVIAO;BIMOTOR;NAO REGULAR;DESCIDA;NENHUM;0
AVIAO;BIMOTOR;NAO REGULAR;PUSHBACK;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CHEQUE DE MOTOR OU ROTOR;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;OUTRA FASE;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;INDETERMINADO;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;ESTACIONAMENTO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;INDETERMINADA;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
HELICOPTERO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;PARTIDA DO MOTOR;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;RETA FINAL;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;OPERACAO DE SOLO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;TAXI;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CORRIDA APOS POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;LEVE;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
AVIAO;BIMOTOR;PARTICULAR;POUSO;NENHUM;0
