ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia
170110;201907;358;71790.0
170130;201907;533;104002.0
170190;201907;403;63313.0
170200;201907;451;63813.0
170210;201907;7154;931556.0
170215;201907;781;186329.0
170220;201907;3066;511179.0
170230;201907;416;63944.0
170240;201907;1370;318057.0
170255;201907;1486;263825.0
170270;201907;399;65863.0
170290;201907;1935;476923.0
170300;201907;1087;227927.0
170305;201907;278;43175.0
170307;201907;427;96895.0
170310;201907;604;93292.0
170320;201907;448;95608.0
170330;201907;576;154119.0
170360;201907;198;41316.0
170370;201907;441;69701.0
170380;201907;742;123563.0
170382;201907;297;66878.0
170384;201907;750;163617.0
170386;201907;205;32111.0
170388;201907;217;45268.0
170389;201907;578;135926.0
170390;201907;869;206160.0
170410;201907;263;69606.0
170460;201907;181;34934.0
170510;201907;389;96530.0
170550;201907;2025;283310.0
170555;201907;551;89446.0
170560;201907;464;103351.0
170600;201907;638;111200.0
170610;201907;755;145661.0
170625;201907;89;16967.0
170650;201907;546;102440.0
170700;201907;1373;250006.0
170710;201907;695;126553.0
170720;201907;1048;202053.0
170730;201907;381;68118.0
170740;201907;1243;287143.0
170755;201907;288;56101.0
170765;201907;430;71113.0
170770;201907;994;194408.0
170820;201907;1476;251995.0
170825;201907;483;92892.0
170830;201907;862;198051.0
170900;201907;1707;423520.0
170930;201907;1424;226767.0
170950;201907;2708;363471.0
170980;201907;226;48372.0
171050;201907;1046;287903.0
171070;201907;736;124046.0
171090;201907;579;85730.0
171110;201907;208;32487.0
171150;201907;384;66994.0
171180;201907;234;39471.0
171190;201907;995;246522.0
171195;201907;447;101777.0
171200;201907;188;35845.0
171215;201907;167;32608.0
171240;201907;394;116143.0
171245;201907;272;58175.0
171250;201907;443;80855.0
171270;201907;150;31848.0
171280;201907;400;70014.0
171320;201907;1486;249154.0
171330;201907;1178;188809.0
171360;201907;750;182994.0
171370;201907;333;61845.0
171380;201907;807;172103.0
171395;201907;383;88761.0
171420;201907;747;141059.0
171430;201907;554;109349.0
171488;201907;1083;206562.0
171500;201907;471;105189.0
171510;201907;460;129693.0
171515;201907;188;38265.0
171525;201907;306;50054.0
171550;201907;146;33176.0
171570;201907;576;111084.0
171575;201907;564;100253.0
171610;201907;1773;273228.0
171620;201907;1708;420425.0
171630;201907;498;88772.0
171650;201907;736;115481.0
171660;201907;889;163680.0
171665;201907;590;96021.0
171670;201907;839;141939.0
171700;201907;528;111013.0
171720;201907;417;77981.0
171750;201907;315;44624.0
171780;201907;604;127779.0
171790;201907;668;130512.0
171800;201907;321;65692.0
171820;201907;3808;649323.0
171830;201907;845;145498.0
171840;201907;367;73667.0
171845;201907;255;52016.0
171850;201907;528;149257.0
171855;201907;567;100909.0
171865;201907;158;30937.0
171870;201907;302;56250.0
171875;201907;721;186567.0
171880;201907;731;161775.0
171884;201907;266;46324.0
171886;201907;432;58887.0
171888;201907;295;67683.0
171889;201907;188;33964.0
171890;201907;513;102485.0
171900;201907;182;35249.0
172000;201907;276;45338.0
172010;201907;557;137740.0
172015;201907;145;31472.0
172020;201907;1636;299253.0
172025;201907;325;78588.0
172030;201907;787;206680.0
172049;201907;518;89607.0
172065;201907;866;184692.0
172080;201907;1171;230733.0
172085;201907;145;23830.0
172090;201907;2203;493647.0
172093;201907;180;43363.0
172097;201907;193;38288.0
172100;201907;12987;2134158.0
172110;201907;900;295279.0
172120;201907;2219;523790.0
172125;201907;103;23728.0
172130;201907;234;52886.0
172208;201907;1381;264896.0
172210;201907;1334;228904.0
210005;201907;8726;1349515.0
210010;201907;1442;304617.0
210015;201907;2499;556787.0
210020;201907;5733;1231564.0
210030;201907;3678;697721.0
210040;201907;1384;265371.0
210043;201907;4089;884579.0
210047;201907;4600;1336912.0
210050;201907;1242;261710.0
210055;201907;1364;342220.0
210060;201907;4691;1060537.0
210070;201907;6142;1622962.0
210080;201907;3550;1124205.0
210083;201907;4107;1158796.0
210087;201907;2180;442998.0
210090;201907;7518;1563610.0
210095;201907;4735;931402.0
210100;201907;5138;1140387.0
210110;201907;2536;765429.0
210120;201907;12708;2342669.0
210125;201907;3090;552017.0
210130;201907;2953;609106.0
210135;201907;1038;254209.0
210140;201907;8590;1573106.0
210150;201907;3319;508215.0
210160;201907;10351;1715215.0
210170;201907;11621;2678693.0
210173;201907;1702;541037.0
210177;201907;2559;585043.0
210180;201907;1099;263970.0
210190;201907;3584;797577.0
210193;201907;876;171110.0
210197;201907;1528;365651.0
210200;201907;5471;1241444.0
210203;201907;4833;923325.0
210207;201907;2350;434460.0
210210;201907;6722;2048165.0
210215;201907;1749;474876.0
210220;201907;5064;1194490.0
210230;201907;3916;807089.0
210232;201907;6704;1232809.0
210235;201907;2588;676627.0
210237;201907;2053;657714.0
210240;201907;2084;508460.0
210250;201907;4361;1242620.0
210255;201907;1554;313862.0
210260;201907;4047;895175.0
